train_accuracy,val_accuracy,test_accuracy,train_loss,val_loss,test_loss
0.26959247648902823,0.27672955974842767,0.29375,1.8080723198790536,1.9643152787250542,1.9237284757196904
0.23824451410658307,0.20754716981132076,0.225,1.8093322171686586,1.8142487665392317,1.7320140212774278
0.24843260188087773,0.32075471698113206,0.35,1.7605721172307351,1.851677749516829,1.7791640669107438
0.23981191222570533,0.36477987421383645,0.34375,1.785737607172664,1.8324261446419001,1.744781994819641
0.23667711598746083,0.31446540880503143,0.325,1.7634815933375523,2.5449277612398253,2.447305880486965
0.24921630094043887,0.3710691823899371,0.375,1.7684191961460354,1.544582558877813,1.5629785627126693
0.2547021943573668,0.3710691823899371,0.3125,1.753266627044887,1.675788404056861,1.5624507263302803
0.26880877742946707,0.34591194968553457,0.39375,1.7199948880366023,1.7357775115367002,1.565121541172266
0.25783699059561127,0.39622641509433965,0.40625,1.749395294903214,1.491952064652113,1.4458682894706727
0.26253918495297807,0.39622641509433965,0.3625,1.7197184177775369,1.6643698597854037,1.7802426174283028
0.2797805642633229,0.3333333333333333,0.375,1.7237649853326684,1.779239223438239,1.6438174732029438
0.2547021943573668,0.4088050314465409,0.4375,1.7189754295311752,1.71231543118099,1.6541474059224128
0.2601880877742947,0.44654088050314467,0.50625,1.7283390191468326,1.3034013719678674,1.210676421225071
0.27507836990595613,0.4339622641509434,0.35,1.6981384948503262,1.5738849662384897,1.5491347089409828
0.2672413793103448,0.39622641509433965,0.4375,1.7070813449012074,1.9120321963568154,1.7976368062198163
0.274294670846395,0.4591194968553459,0.475,1.6827059835662663,1.5637784903904177,1.502980250865221
0.2829153605015674,0.41509433962264153,0.425,1.6979657526487093,1.579981120127552,1.4952533483505248
0.2993730407523511,0.4339622641509434,0.4125,1.6450454014408924,1.8862391297922194,1.7910396248102187
0.28683385579937304,0.4968553459119497,0.46875,1.678810775466847,1.6452222755120236,1.5548003934323789
0.3056426332288401,0.4591194968553459,0.53125,1.6600340677652987,1.880601224659374,1.604408000409603
0.3056426332288401,0.5283018867924528,0.59375,1.659395933992063,1.432103067074182,1.3480205520987512
0.29545454545454547,0.5220125786163522,0.55,1.6624176511570203,1.443015476442733,1.3867786712944508
0.30407523510971785,0.49056603773584906,0.55,1.6587495392766491,1.4996967788012523,1.388433226197958
0.31504702194357365,0.5660377358490566,0.51875,1.6219253316755204,1.382839448796878,1.3503578469157218
0.3166144200626959,0.4528301886792453,0.45,1.6083982131884764,2.2443647512100027,2.0230615735054016
0.3103448275862069,0.5220125786163522,0.5125,1.6220036338676105,1.439710539841802,1.4128202430903911
0.31347962382445144,0.4339622641509434,0.46875,1.6135916994843738,2.4428473156203263,2.263746963441372
0.3283699059561129,0.5660377358490566,0.5375,1.611231392266982,1.3078281234645244,1.3688476502895355
0.322884012539185,0.4968553459119497,0.525,1.6079017178018264,1.8380865563386641,1.7650117725133896
0.3283699059561129,0.5094339622641509,0.54375,1.63016530021231,1.523473856584081,1.3337533600628375
0.335423197492163,0.5345911949685535,0.55,1.6193899507619745,1.2764100923478228,1.2420742079615592
0.3385579937304075,0.4088050314465409,0.49375,1.5593384903239607,3.0446595665793748,2.6534181788563727
0.34796238244514105,0.5345911949685535,0.53125,1.5880551270930372,1.5404952427126326,1.531364706903696
0.3565830721003135,0.4968553459119497,0.59375,1.5396697200764684,2.146975391315964,1.7050789326429368
0.3385579937304075,0.5220125786163522,0.54375,1.588338148070727,2.159479724536152,1.9588406190276146
0.3510971786833856,0.559748427672956,0.5375,1.5442854287482355,1.906961406551817,1.9482996955513954
0.3605015673981191,0.4779874213836478,0.45,1.546303070451025,2.5953953011230855,2.4157054729759695
0.3463949843260188,0.4339622641509434,0.50625,1.5684991783482902,2.8067648650715187,2.5577926844358445
0.35344827586206895,0.5220125786163522,0.525,1.5418437827717175,2.400426813641434,2.2313368931412696
