0.001,2,1e-05,Yes,0.9952978056426333,0.949685534591195,0.9625,0.02062647563163016,0.2288837710266593,0.23840272575616836
0.0001,1,1e-05,Yes,1.0,1.0,0.9875,0.001297012952427879,0.19808842700982243,0.19868646040558816
0.001,1,0,Yes,1.0,0.9056603773584906,0.95625,5.180746036637166e-05,0.294791912507711,0.17359587475657462
0.0001,0,0,Yes,1.0,0.9811320754716981,1.0,0.0001120301997026306,0.08723287612387219,0.05629238411784172
0.0001,1,0,Yes,0.9976489028213166,0.9119496855345912,0.95625,0.01409859408779204,0.3166817370450722,0.21182665824890137
0.0001,0,1e-05,Yes,1.0,0.9811320754716981,0.99375,0.006223485948150061,0.1698966716070595,0.17371941730380058
0.001,0,0,Yes,1.0,0.9811320754716981,0.95625,0.00017454566253016361,0.1316222975838859,0.1630836997181177
0.001,0,1e-05,Yes,1.0,0.8427672955974843,0.86875,0.001526733831178432,0.5442143176336708,0.46546997874975204
0.001,2,0,Yes,1.0,0.9119496855345912,0.925,0.00011002568989338173,0.21542516706874534,0.28594365864992144
0.0001,2,1e-05,Yes,0.9984326018808778,0.9748427672955975,0.975,0.007872751000159212,0.2355920653673088,0.2784984365105629
0.001,1,1e-05,Yes,1.0,0.8490566037735849,0.8875,0.0003743420200288109,0.5434458518178208,0.43355891332030294
0.0001,2,0,Yes,1.0,0.9748427672955975,0.99375,0.0022447135381190382,0.18429377768774452,0.16979198679327964
